outcome,coef_hot_days_gt80f,std_err,t_value,p_value,ci_lower_95,ci_upper_95,n_obs,r_squared
delta_birth_8m_pct,-0.20779371018884973,0.006251559031114589,-33.23870240281523,2.9728301621009026e-242,-0.22004654073706045,-0.19554087964063901,100,0.9930323569755183
delta_birth_9m_pct,-0.3975235884769944,0.003870676207321839,-102.70132844618514,0.0,-0.4051099744391613,-0.38993720251482755,100,0.9971966901579994
delta_birth_10m_pct,-0.17545794599027492,0.005745858043795849,-30.53642200223298,8.56452498134475e-205,-0.18671962081639457,-0.16419627116415528,100,0.9892091209174698
